id,title,filtered_words_str,label
R129,New Report on Election,"particularly, sit, leave, sort, move, company., kid, world, drug, instead, the., experts, discuss, ongoing, developments, election.",REAL
R227,New Report on Climate Change,"study, condition, sing, teach, staff, fill., responsibility, group, course, people, behind., strategy, hit, six, wait, pattern, operation., experts, discuss, ongoing, developments, climate, change.",REAL
F231,Aliens Confirmed by Sources,"ago, break, force., beautiful, environment, consumer, generation, large., —, shocking, claims, aliens, surface, internet.",FAKE
R066,New Report on Policy,"tell, responsibility, structure, analysis., experts, discuss, ongoing, developments, policy.",REAL
F095,Mind Control Confirmed by Sources,"yet, pm, space, should., speak, course., explain, today, around, maintain, rather., compare, finish, win, direction., —, shocking, claims, mind, control, surface, internet.",FAKE
R174,New Report on Policy,"shake, maintain, fight, decade, long, nearly., similar, modern, pattern, base., particular, affect, detail, later, maintain, law., experts, discuss, ongoing, developments, policy.",REAL
R201,New Report on Public Health,"water, collection, test., whether, clear, crime, car., much, option, small, respond, firm, meeting., experts, discuss, ongoing, developments, public, health.",REAL
R072,New Report on Education,"major, best, pm, hot, compare, college, check., owner, research, technology, mean, institution., experts, discuss, ongoing, developments, education.",REAL
R064,New Report on Research,"often, organization, late, floor., theory, image, class, deal, decide, at., experts, discuss, ongoing, developments, research.",REAL
F037,Miracle Drug Confirmed by Sources,"answer, step, difficult, per, girl, someone., national, describe, picture, how., laugh, run, sense, candidate, benefit, their., —, shocking, claims, miracle, drug, surface, internet.",FAKE
R170,New Report on Technology Breakthrough,"serve, month, green, suddenly, college., cup, available, capital, face., experts, discuss, ongoing, developments, technology, breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"wide, whatever, huge, sign, hard, social, beyond, help., air, seek, south., —, shocking, claims, celebrity, scandal, surface, internet.",FAKE
F048,Secret Cure Confirmed by Sources,"program, hold, peace, month, capital, clearly, officer., —, shocking, claims, secret, cure, surface, internet.",FAKE
F082,Hoax Confirmed by Sources,"physical, power, decision, campaign., —, shocking, claims, hoax, surface, internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"room, enter, ahead, think, chair, lawyer, son., health, receive, almost, first., entire, child, relationship, degree, truth, treat., —, shocking, claims, miracle, drug, surface, internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"national, special, grow, use, ball, year, pm., —, shocking, claims, miracle, drug, surface, internet.",FAKE
F202,Hoax Confirmed by Sources,"probably, memory, perhaps, carry, actually, vote, image., else, one, election, past., —, shocking, claims, hoax, surface, internet.",FAKE
F197,Secret Cure Confirmed by Sources,"cost, policy, music, stay, according., —, shocking, claims, secret, cure, surface, internet.",FAKE
R128,New Report on Climate Change,"mission, east, general, statement., decision, away, pattern, administration, history, fight, box., experts, discuss, ongoing, developments, climate, change.",REAL
F157,Government Cover-Up Confirmed by Sources,"week, beat, generation, nice., show, morning, box, avoid., common, political, growth., —, shocking, claims, government, cover-up, surface, internet.",FAKE
F117,Hoax Confirmed by Sources,"president, get, political, time, establish, apply., week, focus, big., among, else, candidate, research, billion., catch, important, end., —, shocking, claims, hoax, surface, internet.",FAKE
F173,Secret Cure Confirmed by Sources,"plan, machine, animal, card, although., —, shocking, claims, secret, cure, surface, internet.",FAKE
F024,Aliens Confirmed by Sources,"huge, enter, send, just., adult, keep, serious, production, protect, final, before., nice, traditional, send, man, information, pass., —, shocking, claims, aliens, surface, internet.",FAKE
F096,Celebrity Scandal Confirmed by Sources,"economy, writer, crime, hope, letter, at., let, foot, body, last, institution, hit., —, shocking, claims, celebrity, scandal, surface, internet.",FAKE
R247,New Report on Public Health,"economy, generation, several, short, movie, must., pick, three, might, whose., agent, discuss, property, reflect, miss, cup., grow, discover, analysis, enter, husband, property, such., experts, discuss, ongoing, developments, public, health.",REAL
F226,Government Cover-Up Confirmed by Sources,"total, despite, tell, plant, relate, process, quickly., mrs, able, another, information, marriage., society, truth, away, police, onto, trouble., —, shocking, claims, government, cover-up, surface, internet.",FAKE
F100,Flat Earth Confirmed by Sources,"young, summer, scene, republican, include., sit, series, fund., —, shocking, claims, flat, earth, surface, internet.",FAKE
F246,Government Cover-Up Confirmed by Sources,"add, chance, great, among, home, college., color, enjoy, garden, budget., —, shocking, claims, government, cover-up, surface, internet.",FAKE
F183,Aliens Confirmed by Sources,"clearly, step, purpose, forget, always, food, pass., skill, every, officer, travel, third., job, low, close., —, shocking, claims, aliens, surface, internet.",FAKE
R063,New Report on Policy,"often, hit, still, work, head, move, rather., big, order, manager, vote., experts, discuss, ongoing, developments, policy.",REAL
R005,New Report on Election,"central, charge, green., eight, road, later, article, short, personal., experts, discuss, ongoing, developments, election.",REAL
R084,New Report on Election,"information, group, senior, position, speech, office., rest, unit, surface, should., well, everything, might, mouth., experts, discuss, ongoing, developments, election.",REAL
R124,New Report on Education,"hair, father, shoulder, agency, social., experts, discuss, ongoing, developments, education.",REAL
R118,New Report on Research,"bring, fear, two, system, science, green., note, first., dark, fire, seat., job, nearly, arrive, everybody, police, money, right, director., experts, discuss, ongoing, developments, research.",REAL
F001,Aliens Confirmed by Sources,"debate, party, consumer, somebody, member, country., strategy, several, structure, get, relate, standard, region., toward, reach, window, happen, drug, eat., meet, vote, become., —, shocking, claims, aliens, surface, internet.",FAKE
F007,Immortal Jellyfish Confirmed by Sources,"player, teacher, produce, foot, nature., medical, agreement, hospital, family., treat, everyone, north., —, shocking, claims, immortal, jellyfish, surface, internet.",FAKE
F046,Mind Control Confirmed by Sources,"responsibility, science, head., wind, program, cold, major., inside, woman, small, national, politics, girl, get., —, shocking, claims, mind, control, surface, internet.",FAKE
R103,New Report on Research,"shake, election, way, drop, condition, new, wife., chair, daughter, everything, animal., experts, discuss, ongoing, developments, research.",REAL
R037,New Report on Budget Report,"move, treat, teacher, one., energy, better, article, energy, director, tough., send, friend, actually, open, course, light, edge., simple, enjoy, leader, able, cut, nor., experts, discuss, ongoing, developments, budget, report.",REAL
F193,Secret Cure Confirmed by Sources,"improve, industry, general, describe, wind., —, shocking, claims, secret, cure, surface, internet.",FAKE
