id,filtered_words_str,features_str,label_index
R129,"particularly, sit, leave, sort, move, company., kid, world, drug, instead, the., experts, discuss, ongoing, developments, election.","(10000,[2260,2913,3008,3556,3614,3723,4506,4527,4687,5720,6282,6443,6946,7860,9360,9462],[4.607168188650764,3.383392757028649,5.117993812416755,2.7826188965997183,0.691153161953081,3.7316994512968646,0.691153161953081,4.270695952029551,0.691153161953081,4.830311739964974,4.019381523748645,3.7316994512968646,3.6516567436233283,2.997730276216664,4.42484663185681,0.691153161953081])",1.0
R227,"study, condition, sing, teach, staff, fill., responsibility, group, course, people, behind., strategy, hit, six, wait, pattern, operation., experts, discuss, ongoing, developments, climate, change.","(10000,[453,617,821,2059,2291,3502,3614,3652,4224,4263,4506,4687,5328,5401,5477,5887,6224,6451,7766,8252,8271,8522,9462],[3.914021008090819,3.7316994512968646,2.849310271098391,2.661258039595451,4.019381523748645,4.019381523748645,0.691153161953081,4.019381523748645,4.137164559405029,4.42484663185681,0.691153161953081,0.691153161953081,3.6516567436233283,3.8187108282864943,4.270695952029551,4.137164559405029,4.019381523748645,3.383392757028649,3.914021008090819,4.137164559405029,4.830311739964974,4.019381523748645,0.691153161953081])",1.0
F231,"ago, break, force., beautiful, environment, consumer, generation, large., —, shocking, claims, aliens, surface, internet.","(10000,[503,650,668,1273,1896,2407,3713,5850,6291,6963,7281,7936,8338,9475],[0.691153161953081,2.958509563063383,4.830311739964974,3.914021008090819,4.019381523748645,4.270695952029551,5.523458920524919,0.691153161953081,5.523458920524919,3.8187108282864943,0.6714286566053024,0.691153161953081,0.691153161953081,4.137164559405029])",0.0
R066,"tell, responsibility, structure, analysis., experts, discuss, ongoing, developments, policy.","(10000,[1850,2996,3502,3614,4506,4687,6421,6944,9462],[4.270695952029551,3.5085558999826545,4.019381523748645,0.691153161953081,0.691153161953081,0.691153161953081,5.523458920524919,2.849310271098391,0.691153161953081])",1.0
F095,"yet, pm, space, should., speak, course., explain, today, around, maintain, rather., compare, finish, win, direction., —, shocking, claims, mind, control, surface, internet.","(10000,[320,503,1208,1661,2398,3184,4037,4499,4732,5247,5341,5850,6197,6578,7026,7281,7936,8338,9188,9246,9547,9806],[4.019381523748645,0.691153161953081,2.7826188965997183,5.117993812416755,4.137164559405029,2.920769235080536,4.019381523748645,4.830311739964974,4.830311739964974,4.607168188650764,4.607168188650764,0.691153161953081,4.270695952029551,3.8187108282864943,3.914021008090819,0.6714286566053024,0.691153161953081,0.691153161953081,4.830311739964974,4.137164559405029,5.117993812416755,4.270695952029551])",0.0
R174,"shake, maintain, fight, decade, long, nearly., similar, modern, pattern, base., particular, affect, detail, later, maintain, law., experts, discuss, ongoing, developments, policy.","(10000,[560,617,1143,2180,2336,2437,2526,3614,4506,4687,5247,6030,6055,6838,6944,7046,8538,8904,8984,9462],[4.270695952029551,3.7316994512968646,3.914021008090819,4.42484663185681,4.42484663185681,5.523458920524919,4.607168188650764,0.691153161953081,0.691153161953081,0.691153161953081,9.214336377301528,4.42484663185681,4.270695952029551,4.830311739964974,2.849310271098391,4.607168188650764,5.117993812416755,4.830311739964974,4.019381523748645,0.691153161953081])",1.0
R201,"water, collection, test., whether, clear, crime, car., much, option, small, respond, firm, meeting., experts, discuss, ongoing, developments, public, health.","(10000,[222,524,731,1611,1770,2500,2589,3406,3614,4506,4687,6219,7032,8209,8290,8894,8960,9462,9613],[4.137164559405029,3.577548771469606,4.830311739964974,4.607168188650764,2.920769235080536,4.019381523748645,4.019381523748645,4.137164559405029,0.691153161953081,0.691153161953081,0.691153161953081,3.125563647726549,4.830311739964974,3.914021008090819,5.523458920524919,4.019381523748645,5.117993812416755,0.691153161953081,4.137164559405029])",1.0
R072,"major, best, pm, hot, compare, college, check., owner, research, technology, mean, institution., experts, discuss, ongoing, developments, education.","(10000,[763,909,1020,1058,3614,4506,4687,5047,6053,7026,7180,8057,9246,9394,9432,9462,9693],[4.270695952029551,4.830311739964974,2.6330871626287546,4.42484663185681,0.691153161953081,0.691153161953081,0.691153161953081,2.661258039595451,4.019381523748645,3.914021008090819,5.117993812416755,3.8187108282864943,4.137164559405029,5.523458920524919,3.914021008090819,0.691153161953081,4.270695952029551])",1.0
R064,"often, organization, late, floor., theory, image, class, deal, decide, at., experts, discuss, ongoing, developments, research.","(10000,[7,1364,1433,1468,2920,3079,3614,4007,4506,4687,5303,7066,7152,8293,9462],[4.270695952029551,4.42484663185681,4.270695952029551,4.019381523748645,5.523458920524919,3.5085558999826545,0.691153161953081,4.607168188650764,0.691153161953081,0.691153161953081,3.914021008090819,2.849310271098391,5.117993812416755,4.42484663185681,0.691153161953081])",1.0
F037,"answer, step, difficult, per, girl, someone., national, describe, picture, how., laugh, run, sense, candidate, benefit, their., —, shocking, claims, miracle, drug, surface, internet.","(10000,[266,298,503,1029,1256,1558,1712,2481,3409,3619,4108,4358,5447,5653,5850,6021,7085,7098,7281,7860,7910,7936,8338],[4.270695952029551,4.019381523748645,0.691153161953081,3.914021008090819,3.125563647726549,4.137164559405029,4.019381523748645,4.137164559405029,4.607168188650764,4.42484663185681,5.117993812416755,3.8187108282864943,3.6516567436233283,4.42484663185681,0.691153161953081,4.270695952029551,4.270695952029551,4.830311739964974,0.6714286566053024,2.997730276216664,4.137164559405029,0.691153161953081,0.691153161953081])",0.0
R170,"serve, month, green, suddenly, college., cup, available, capital, face., experts, discuss, ongoing, developments, technology, breakthrough.","(10000,[551,1020,1725,2227,2475,3059,3614,4506,4687,5741,6541,8581,9297,9462,9578],[4.270695952029551,2.6330871626287546,4.830311739964974,2.7200985396183848,4.270695952029551,4.270695952029551,0.691153161953081,0.691153161953081,0.691153161953081,4.42484663185681,3.8187108282864943,4.270695952029551,4.830311739964974,0.691153161953081,4.830311739964974])",1.0
F110,"wide, whatever, huge, sign, hard, social, beyond, help., air, seek, south., —, shocking, claims, celebrity, scandal, surface, internet.","(10000,[88,171,503,823,2198,2836,3486,3952,4640,4921,5125,5850,6756,7281,7695,7936,8338,8900],[4.019381523748645,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,4.270695952029551,2.849310271098391,5.523458920524919,4.830311739964974,2.849310271098391,4.270695952029551,0.691153161953081,3.3262343431887,0.6714286566053024,4.019381523748645,0.691153161953081,0.691153161953081,4.270695952029551])",0.0
F048,"program, hold, peace, month, capital, clearly, officer., —, shocking, claims, secret, cure, surface, internet.","(10000,[503,573,2389,3892,5741,5850,6511,6541,6697,6747,7281,7936,8238,8338],[0.691153161953081,5.117993812416755,4.42484663185681,2.5530444549552183,4.42484663185681,0.691153161953081,5.117993812416755,3.8187108282864943,4.607168188650764,2.5530444549552183,0.6714286566053024,0.691153161953081,4.270695952029551,0.691153161953081])",0.0
F082,"physical, power, decision, campaign., —, shocking, claims, hoax, surface, internet.","(10000,[503,2193,3056,4377,5850,5856,7281,7936,8338,8649],[0.691153161953081,3.6516567436233283,4.270695952029551,2.60568818844064,0.691153161953081,5.523458920524919,0.6714286566053024,0.691153161953081,0.691153161953081,4.019381523748645])",0.0
F187,"room, enter, ahead, think, chair, lawyer, son., health, receive, almost, first., entire, child, relationship, degree, truth, treat., —, shocking, claims, miracle, drug, surface, internet.","(10000,[494,503,681,1256,1440,2069,2335,3756,4260,4617,5850,7244,7281,7435,7860,7936,8268,8338,8566,8805,8824,9021,9066,9943],[4.607168188650764,0.691153161953081,4.607168188650764,3.125563647726549,4.830311739964974,3.914021008090819,3.6516567436233283,4.607168188650764,4.42484663185681,4.019381523748645,0.691153161953081,3.6516567436233283,0.6714286566053024,3.8187108282864943,2.997730276216664,0.691153161953081,3.7316994512968646,0.691153161953081,4.137164559405029,4.42484663185681,4.830311739964974,4.019381523748645,3.914021008090819,4.137164559405029])",0.0
F027,"national, special, grow, use, ball, year, pm., —, shocking, claims, miracle, drug, surface, internet.","(10000,[503,1055,1256,2404,5133,5850,6486,7281,7492,7860,7910,7936,8338,8899],[0.691153161953081,3.7316994512968646,3.125563647726549,4.270695952029551,3.8187108282864943,0.691153161953081,4.830311739964974,0.6714286566053024,4.137164559405029,2.997730276216664,4.137164559405029,0.691153161953081,0.691153161953081,4.830311739964974])",0.0
F202,"probably, memory, perhaps, carry, actually, vote, image., else, one, election, past., —, shocking, claims, hoax, surface, internet.","(10000,[132,454,503,815,1259,2297,3308,4377,5034,5850,6447,6941,7281,7936,8338,9214,9604],[3.8187108282864943,3.7316994512968646,0.691153161953081,4.42484663185681,3.6516567436233283,4.607168188650764,4.42484663185681,2.60568818844064,4.270695952029551,0.691153161953081,4.137164559405029,4.830311739964974,0.6714286566053024,0.691153161953081,0.691153161953081,4.270695952029551,5.117993812416755])",0.0
F197,"cost, policy, music, stay, according., —, shocking, claims, secret, cure, surface, internet.","(10000,[433,503,3892,4142,4490,5850,6370,6747,7281,7936,8338,9907],[4.830311739964974,0.691153161953081,2.5530444549552183,4.42484663185681,4.019381523748645,0.691153161953081,4.019381523748645,2.5530444549552183,0.6714286566053024,0.691153161953081,0.691153161953081,5.523458920524919])",0.0
R128,"mission, east, general, statement., decision, away, pattern, administration, history, fight, box., experts, discuss, ongoing, developments, climate, change.","(10000,[617,821,2059,2193,2526,3548,3614,3737,4506,4687,5185,5465,6069,6543,6576,8774,9462],[3.7316994512968646,2.849310271098391,2.661258039595451,3.6516567436233283,4.607168188650764,5.523458920524919,0.691153161953081,3.7316994512968646,0.691153161953081,0.691153161953081,3.8187108282864943,3.8187108282864943,4.019381523748645,4.019381523748645,3.7316994512968646,5.117993812416755,0.691153161953081])",1.0
